Year,Month,Bene_Geo_Desc,Bene_Race_Desc,Bene_Sex_Desc,Bene_Mdcr_Entlmt_Stus,Bene_Age_Desc,Bene_RUCA_Desc,Total_Hosp,Total_Enrl,Total_Hosp_Per100K,Avg_LOS
2020,Overall,National,All,All,All,All,All,986377,62511890.167,1577.903,10.6439
2020,Overall,National,All,All,All,All,Rural,189268,12069135.333,1568.1985,9.755
2020,Overall,National,All,All,All,All,Urban,794694,49819560.5,1595.1445,10.8475
2020,Overall,National,All,All,All,All,Unknown,"",82232.333333,"",""
2020,Overall,National,All,All,All,0-64,All,130536,8319817.1667,1568.9768,11.7848
2020,Overall,National,All,All,All,65-74,All,342290,31038360.833,1102.7966,11.1948
2020,Overall,National,All,All,All,75-84,All,317936,16511794,1925.5085,10.4608
2020,Overall,National,All,All,All,"85 and over",All,195443,6641918.1667,2942.5686,9.1929
2020,Overall,National,All,All,Aged,All,All,822227,53890076.833,1525.7484,10.3918
2020,Overall,National,All,All,Disabled,All,All,107146,8062489,1328.9444,11.7738
2020,Overall,National,All,All,ESRD,All,All,56832,559324.33333,10160.831,12.0844
2020,Overall,National,All,Female,All,All,All,486508,33915975.583,1434.4508,10.1857
2020,Overall,National,All,Male,All,All,All,499697,28595905.917,1747.4425,11.0814
2020,Overall,National,"American Indian/Alaska Native",All,All,All,All,9451,262463.5,3600.8816,11.0559
2020,Overall,National,"American Indian/Alaska Native",All,All,All,Rural,5334,132482.75,4026.1845,10.7855
2020,Overall,National,"American Indian/Alaska Native",All,All,All,Urban,4086,128077.75,3190.2497,11.4205
2020,Overall,National,"American Indian/Alaska Native",All,All,All,Unknown,"",731.58333333,"",""
2020,Overall,National,"American Indian/Alaska Native",All,All,0-64,All,2141,70854.833333,3021.6711,11.8136
2020,Overall,National,"American Indian/Alaska Native",All,All,65-74,All,3674,111556.5,3293.3984,11.5294
2020,Overall,National,"American Indian/Alaska Native",All,All,75-84,All,2611,60138.5,4341.6447,10.5335
2020,Overall,National,"American Indian/Alaska Native",All,All,"85 and over",All,1025,19913.666667,5147.2188,9.1063
2020,Overall,National,"American Indian/Alaska Native",All,Aged,All,All,6825,188631.75,3618.1608,10.7761
2020,Overall,National,"American Indian/Alaska Native",All,Disabled,All,All,1560,66917.166667,2331.2404,11.5199
2020,Overall,National,"American Indian/Alaska Native",All,ESRD,All,All,1066,6914.5833333,15416.6918,12.1679
